iter	Passed	Remaining
0	64	63964
1	83	41449
2	99	33088
3	115	28788
4	126	25240
5	144	23891
6	154	21954
7	166	20685
8	178	19704
9	188	18672
10	201	18150
11	216	17853
12	225	17121
13	236	16649
14	249	16402
15	260	16043
16	269	15598
17	282	15415
18	294	15201
19	303	14847
20	316	14741
21	327	14573
22	335	14231
23	344	14004
24	356	13903
25	368	13822
26	389	14029
27	402	13982
28	417	13966
29	427	13827
30	443	13851
31	454	13759
32	467	13685
33	476	13542
34	490	13521
35	501	13440
36	515	13418
37	528	13367
38	537	13242
39	550	13216
40	564	13207
41	574	13109
42	587	13075
43	599	13021
44	613	13010
45	622	12900
46	632	12827
47	642	12740
48	661	12832
49	677	12879
50	694	12918
51	709	12931
52	729	13042
53	745	13066
54	762	13104
55	779	13136
56	791	13098
57	805	13084
58	819	13069
59	827	12970
60	851	13105
61	864	13080
62	876	13031
63	892	13059
64	908	13068
65	919	13019
66	927	12912
67	941	12898
68	950	12820
69	960	12765
70	974	12745
71	982	12663
72	993	12620
73	1007	12610
74	1016	12534
75	1023	12442
76	1030	12349
77	1043	12337
78	1054	12288
79	1065	12254
80	1076	12216
81	1090	12205
82	1101	12170
83	1111	12124
84	1119	12046
85	1126	11974
86	1141	11978
87	1151	11932
88	1165	11926
89	1179	11923
90	1193	11926
91	1212	11970
92	1224	11943
93	1243	11985
94	1264	12046
95	1280	12056
96	1288	11992
97	1301	11978
98	1314	11959
99	1322	11903
100	1335	11887
101	1350	11890
102	1365	11894
103	1375	11846
104	1387	11830
105	1402	11825
106	1414	11806
107	1427	11789
108	1436	11743
109	1450	11736
110	1467	11752
111	1481	11742
112	1493	11723
113	1502	11676
114	1515	11663
115	1528	11646
116	1539	11620
117	1549	11584
118	1563	11571
119	1572	11533
120	1582	11495
121	1595	11485
122	1607	11464
123	1616	11418
124	1631	11421
125	1646	11422
126	1658	11401
127	1669	11374
128	1681	11350
129	1694	11341
130	1705	11316
131	1715	11280
132	1728	11269
133	1740	11251
134	1749	11207
135	1761	11192
136	1773	11174
137	1783	11138
138	1794	11116
139	1805	11092
140	1814	11053
141	1827	11040
142	1839	11024
143	1847	10983
144	1860	10971
145	1872	10951
146	1884	10936
147	1894	10903
148	1907	10892
149	1921	10890
150	1928	10843
151	1941	10832
152	1955	10824
153	1962	10780
154	1975	10770
155	1988	10757
156	2001	10749
157	2016	10746
158	2025	10715
159	2039	10705
160	2050	10686
161	2060	10657
162	2073	10645
163	2084	10628
164	2098	10618
165	2104	10575
166	2114	10549
167	2128	10543
168	2141	10531
169	2154	10519
170	2163	10489
171	2174	10467
172	2183	10437
173	2196	10425
174	2202	10384
175	2209	10344
176	2224	10341
177	2233	10313
178	2243	10292
179	2255	10277
180	2269	10268
181	2277	10236
182	2289	10220
183	2297	10189
184	2304	10152
185	2312	10118
186	2326	10112
187	2338	10100
188	2352	10093
189	2366	10090
190	2375	10060
191	2388	10050
192	2396	10021
193	2403	9984
194	2413	9963
195	2422	9938
196	2435	9926
197	2449	9923
198	2459	9898
199	2470	9883
200	2485	9880
201	2494	9855
202	2501	9822
203	2509	9792
204	2521	9778
205	2534	9768
206	2545	9750
207	2559	9744
208	2567	9717
209	2581	9710
210	2590	9685
211	2597	9653
212	2604	9622
213	2616	9611
214	2630	9603
215	2642	9593
216	2653	9575
217	2660	9544
218	2667	9514
219	2680	9503
220	2689	9478
221	2696	9448
222	2704	9422
223	2716	9411
224	2724	9384
225	2742	9393
226	2751	9370
227	2763	9356
228	2778	9353
229	2786	9329
230	2793	9300
231	2800	9270
232	2814	9263
233	2826	9252
234	2836	9232
235	2849	9223
236	2856	9195
237	2863	9167
238	2871	9142
239	2884	9134
240	2892	9109
241	2899	9081
242	2913	9076
243	2926	9068
244	2940	9062
245	2950	9042
246	2961	9027
247	2970	9005
248	2981	8992
249	2988	8966
250	2995	8939
251	3007	8926
252	3014	8901
253	3026	8890
254	3040	8882
255	3052	8871
256	3062	8853
257	3074	8841
258	3082	8819
259	3089	8792
260	3095	8765
261	3108	8756
262	3123	8752
263	3139	8751
264	3148	8732
265	3159	8716
266	3172	8709
267	3181	8689
268	3188	8664
269	3195	8638
270	3208	8631
271	3221	8622
272	3234	8612
273	3247	8605
274	3257	8588
275	3270	8579
276	3279	8559
277	3286	8535
278	3294	8513
279	3306	8502
280	3318	8491
281	3328	8474
282	3340	8462
283	3346	8437
284	3353	8413
285	3362	8393
286	3375	8385
287	3382	8361
288	3389	8339
289	3402	8329
290	3415	8321
291	3424	8304
292	3434	8287
293	3447	8279
294	3456	8259
295	3468	8249
296	3475	8227
297	3482	8204
298	3490	8183
299	3502	8171
300	3511	8154
301	3527	8152
302	3536	8134
303	3543	8111
304	3549	8089
305	3562	8080
306	3570	8060
307	3581	8047
308	3596	8042
309	3610	8035
310	3621	8022
311	3632	8009
312	3646	8004
313	3656	7987
314	3668	7977
315	3675	7955
316	3682	7933
317	3696	7926
318	3709	7918
319	3720	7905
320	3732	7896
321	3739	7874
322	3746	7853
323	3755	7836
324	3767	7824
325	3778	7811
326	3792	7805
327	3807	7801
328	3817	7786
329	3831	7778
330	3843	7768
331	3852	7751
332	3859	7730
333	3874	7726
334	3883	7708
335	3896	7699
336	3909	7690
337	3923	7684
338	3933	7669
339	3943	7655
340	3951	7636
341	3958	7616
342	3968	7601
343	3980	7589
344	3993	7581
345	4006	7573
346	4020	7565
347	4029	7549
348	4041	7538
349	4049	7521
350	4056	7500
351	4064	7482
352	4076	7471
353	4088	7460
354	4101	7451
355	4119	7451
356	4128	7435
357	4140	7424
358	4149	7408
359	4160	7397
360	4168	7378
361	4179	7365
362	4196	7363
363	4211	7357
364	4226	7352
365	4236	7338
366	4248	7328
367	4265	7325
368	4282	7323
369	4300	7322
370	4315	7316
371	4334	7317
372	4346	7306
373	4355	7290
374	4370	7283
375	4382	7273
376	4396	7265
377	4406	7250
378	4418	7239
379	4431	7229
380	4441	7215
381	4447	7195
382	4456	7179
383	4467	7166
384	4479	7155
385	4491	7145
386	4506	7138
387	4513	7119
388	4527	7111
389	4536	7095
390	4543	7076
391	4550	7057
392	4564	7049
393	4577	7040
394	4589	7028
395	4599	7014
396	4613	7006
397	4623	6993
398	4634	6981
399	4641	6962
400	4648	6944
401	4661	6934
402	4674	6924
403	4684	6911
404	4696	6899
405	4703	6881
406	4710	6863
407	4724	6855
408	4732	6837
409	4739	6820
410	4746	6802
411	4759	6792
412	4772	6783
413	4786	6775
414	4796	6761
415	4807	6748
416	4821	6740
417	4830	6725
418	4837	6707
419	4844	6690
420	4857	6680
421	4871	6671
422	4881	6658
423	4893	6647
424	4901	6630
425	4912	6618
426	4929	6615
427	4939	6601
428	4969	6614
429	4986	6609
430	4997	6597
431	5006	6582
432	5021	6575
433	5030	6560
434	5038	6544
435	5055	6539
436	5067	6529
437	5081	6520
438	5090	6505
439	5102	6494
440	5114	6482
441	5124	6469
442	5131	6451
443	5138	6434
444	5151	6424
445	5164	6414
446	5172	6399
447	5186	6390
